Year	StatType	Terms	Statistic	P-Value	Additional Info
2018	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	95.81041589235315	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 383.1705633950431-408.27807450463547    CI2: 3.584922782700311-4.753822251347663 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2018	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.217296220162418	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2018	chisq		13568.862295169396	0.0	
2018	tost		67.83968830265155	1.0	
2019	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	49.908992922824375	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2019	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	135.547391073975	0.0	Reporting on z test of proportions.
2019	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	66.34239130434783	NOTSURE	Small number of window hits make p-value calculation difficult.
2019	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	97.1348757704703	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 373.1219630477081-396.6483326997702    CI2: 3.445073692248163-4.553103811375732 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2019	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.364739745466596	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2019	chisq		14102.222126432962	0.0	
2019	tost		68.88677589492939	1.0	
2020	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	50.88559690221812	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2020	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	138.46053005956605	0.0	Reporting on z test of proportions.
2020	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	96.97629179331308	NOTSURE	Small number of window hits make p-value calculation difficult.
2020	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	99.15773622304586	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 363.70473399860066-385.7775493195251    CI2: 3.2900064213710394-4.337464683344205 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2020	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.610357224329675	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2020	chisq		14684.18184617822	0.0	
2020	tost		69.87902104254083	1.0	
2021	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	50.56766095175219	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2021	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	141.64750998520108	0.0	Reporting on z test of proportions.
2021	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	39.66906611701284	NOTSURE	Small number of window hits make p-value calculation difficult.
2021	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	98.63656031660635	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 354.15669688804275-374.7957669613608    CI2: 3.227322029240849-4.227386880322526 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2021	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.48896546625907	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2021	chisq		15327.788788536394	0.0	
2021	tost		71.4508217035536	1.0	
2022	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	52.005399548532736	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2022	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	145.31518133937507	0.0	Reporting on z test of proportions.
2022	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	121.01980911219161	NOTSURE	Small number of window hits make p-value calculation difficult.
2022	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	101.98794490905162	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 349.2006142926925-368.7810810716348    CI2: 3.077827793303214-4.022551691277757 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2022	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.780249576856235	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2022	chisq		16075.326825911172	0.0	
2022	tost		72.60719851259645	1.0	
2023	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	52.0752685279532	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2023	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	148.87329500323187	0.0	Reporting on z test of proportions.
2023	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	46.604166666666664	NOTSURE	Small number of window hits make p-value calculation difficult.
2023	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	102.81653561596735	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 346.71626184632964-365.4532994476169    CI2: 3.036808655763125-3.9469601135050834 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2023	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.65026724331111	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2023	chisq		16812.342485487414	0.0	
2023	tost		74.19104909017318	1.0	
2024	ratio_of_ratios_FET_ratios_directly	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	52.152943182715866	0.0	Reporting FET on the AB hits and B totals. Probably CORRECT.
2024	ratio_of_ratios_zprop	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	149.00425350226115	0.0	Reporting on z test of proportions.
2024	windowed_ratio_of_rat_or_int	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	0	NOTSURE	Small number of window hits make p-value calculation difficult.
2024	ratio_of_fet_stats	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	102.98393128295749	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 346.5801554711456-365.28381896765194    CI2: 3.0305793679046613-3.9388508111270784 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
2024	ratio_of_pred_scores	hpv|human papillomavirus,herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	6.667671827080041	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
2024	chisq		16840.2927199989	0.0	
2024	tost		74.2218541107192	1.0	
