Year	StatType	Terms	Statistic	P-Value	Additional Info
1993	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	10.343772760378734	NOTSURE	Small number of window hits make p-value calculation difficult.
1993	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	8.875841258010833	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 37.65409021477145-71.04005024576307    CI2: 2.7598472621183934-12.303008337594125 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1993	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	14.958632090785471	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1993	chisq		64.98794778937472	7.535756317807693e-16	
1993	tost		6.246666803532791	0.9999999997903479	
1994	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	9.98319168310821	3.68128296440826e-21	Reporting FET on the AB hits and B totals. Probably CORRECT.
1994	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	9.240567477208774	2.4519334963898458e-20	Reporting on z test of proportions.
1994	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1994	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	10.603493107079949	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 40.585683595134775-72.12061182383158    CI2: 2.417337635131158-10.76953711426779 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1994	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	20.436782323832464	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1994	chisq		82.90089425659062	8.627214305588634e-20	
1994	tost		6.890613139848116	0.9999999999972223	
1995	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	10.98020798389802	2.4799997316026857e-24	Reporting FET on the AB hits and B totals. Probably CORRECT.
1995	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	9.863390826911706	5.998858515783883e-23	Reporting on z test of proportions.
1995	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1995	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	11.73259979434697	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 41.469567393982324-71.16669012441739    CI2: 2.1940850182894485-9.771569086510034 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
1995	ratio_of_pred_scores	protein&infection,virus infection|viral infectious particle|viral infection	25.12519152999361	NOT SURE YET!	Doing ratio based on pred scores, (not pvalue)
1995	chisq		94.70463885567439	2.210206275803099e-22	
1995	tost		7.2586811293623335	0.9999999999998046	
1996	ratio_of_ratios_FET_ratios_directly	protein&infection,virus infection|viral infectious particle|viral infection	11.381862539663535	1.1529236571737765e-25	Reporting FET on the AB hits and B totals. Probably CORRECT.
1996	ratio_of_ratios_zprop	protein&infection,virus infection|viral infectious particle|viral infection	10.114002585315273	4.788696155142449e-24	Reporting on z test of proportions.
1996	windowed_ratio_of_rat_or_int	protein&infection,virus infection|viral infectious particle|viral infection	0	NOTSURE	Small number of window hits make p-value calculation difficult.
1996	ratio_of_fet_stats	protein&infection,virus infection|viral infectious particle|viral infection	12.170639108930727	0.01	Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 39.22870653030267-66.10365228499028    CI2: 1.9830421231673294-8.828170966320986 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99
