Year	StatType	Terms	Statistic	P-Value	Additional Info
2020	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	11.0657665	1.84E-28	Reporting on z test of proportions.
2020	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	6.296892596	NOTSURE	Small number of window hits make p-value calculation difficult.
2020	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.366219802	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.732776416553954-6.565019734324228    CI2: 1.3230442512872633-1.6345894912989276 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2020	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	1.847834546	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2020	chisq		119.2273245	9.34E-28	
2020	tost		8.934861331	1	
2021	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.680318933	5.41E-24	Reporting FET on the AB hits and B totals. Probably CORRECT.
2021	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	12.65607784	1.04E-36	Reporting on z test of proportions.
2021	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	11.01705194	NOTSURE	Small number of window hits make p-value calculation difficult.
2021	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.69410206	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.7053918382722904-6.31922383473654    CI2: 1.1817226229411524-1.451993091323544 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2021	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	3.306945408	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2021	chisq		156.3152873	7.22E-36	
2021	tost		10.23884985	1	
2022	ratio_of_ratios_FET_ratios_directly	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.1340114	2.68E-30	Reporting FET on the AB hits and B totals. Probably CORRECT.
2022	ratio_of_ratios_zprop	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	14.68714434	7.79E-49	Reporting on z test of proportions.
2022	windowed_ratio_of_rat_or_int	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	18.42577987	NOTSURE	Small number of window hits make p-value calculation difficult.
2022	ratio_of_fet_stats	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	4.157520997	0.01	"Doing ratio based on FET STAT (not pvalue), reporting pval of 1 for overlap of CIs, pval of 0.01 for no overlap of CIs. CI1: 3.715592372885185-6.157681746730053    CI2: 1.040093989407927-1.2726348523500388 NO OVERLAP of CIs ( NEED to add CIINFO for KM here.).  SIGNIFICANT at CI LEVEL:0.99"
2022	ratio_of_pred_scores	"genetic predisposition,vaccine|vaccines|vaccination|vaccinal"	7.992225908	NOT SURE YET!	"Doing ratio based on pred scores, (not pvalue)"
2022	chisq		210.9263733	8.63E-48	
2022	tost		11.87684791	1	
2023	ONLY1		genetic predisposition	NA	
2024	ONLY1		genetic predisposition	NA	
