Date	A Term	A Count	B Term	B Count	AB Count	AB PMIDS	AB Pred Score	AB Pvalue	AB Sort Ratio	Total_count
1989	cervical cancer	3520	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	17613	124	[6129466, 4345508, 2546422, 2714885, 2833450, 2981783, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 2547521, 175945, 169365, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 2550096, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 2837373, 2554855, 220150, 6271502, 2831934, 224356, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 2542033, 3037680, 2848763, 2553361, 21286567, 6802172, 4350736, 2826000, 6247704, 6100279, 191383, 201227, 6197814, 2535998, 6299751, 4376680, 6289530]	0.3541880949935069	1.8541235930083252e-107	0.0070402543575767895	8911583
1989	cervical cancer	3520	hpv|human papillomavirus	1669	128	[6304740, 2983228, 6329740, 3014503, 2547512, 3039146, 2462058, 2542020, 2541336, 2553991, 2541388, 2882129, 6282442, 2831924, 2841858, 2538174, 3033296, 2997616, 2821369, 3539967, 3009902, 2549723, 2831120, 3004214, 2869301, 2555442, 2837431, 2542439, 2836460, 3008153, 3010725, 3039733, 6318956, 2561870, 2549190, 3022864, 2536006, 2556164, 2545036, 2826665, 2536815, 2539898, 2556252, 3007370, 2714885, 2833450, 3513580, 2547727, 2981783, 2536087, 2471193, 2822583, 3018133, 2983861, 6299907, 3028936, 2841248, 3038735, 3032185, 3015831, 2853999, 2832336, 2830935, 2548136, 2847864, 2842441, 2996269, 2846776, 2573776, 3013712, 2841018, 2854000, 2553962, 3024429, 2849983, 2838970, 2993370, 2839970, 2551495, 2998147, 2826222, 2839224, 2987050, 2475578, 2824682, 2835559, 2550096, 2556422, 6305251, 2843990, 2895274, 2833408, 3020455, 2823398, 3233083, 2882384, 2831934, 2540467, 2852515, 2546882]	1.0180228008639622	6.499504114337869e-243	0.07669263031755542	8911583
1990	cervical cancer	3891	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	18820	130	[6129466, 4345508, 2289300, 2546422, 2714885, 2833450, 2981783, 2164733, 205904, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 2547521, 175945, 169365, 2083290, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 2550096, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 2837373, 2554855, 220150, 6271502, 2831934, 224356, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 2542033, 3037680, 2848763, 2172417, 2553361, 21286567, 6802172, 4350736, 2826000, 6247704, 6100279, 191383, 201227, 2189347]	0.3571336958324247	1.4846036608745274e-108	0.006907545164718385	9321475
1990	cervical cancer	3891	hpv|human papillomavirus	2173	188	[6304740, 2983228, 6329740, 3014503, 2167986, 2547512, 3039146, 2227552, 2462058, 2542020, 2541336, 2553991, 2541388, 2882129, 6282442, 2831924, 2841858, 2538174, 3033296, 2997616, 2821369, 2289300, 3539967, 3009902, 2549723, 2831120, 3004214, 2869301, 2555442, 2837431, 2542439, 2836460, 3008153, 3010725, 3039733, 2168964, 2154865, 6318956, 2561870, 2549190, 3022864, 2536006, 2160903, 2556164, 2545036, 2826665, 2536815, 2539898, 2153245, 2556252, 3007370, 2714885, 2833450, 2351522, 2158235, 3513580, 2547727, 2981783, 1698732, 2159437, 2536087, 2471193, 2822583, 2174733, 2164733, 1693666, 3018133, 2983861, 6299907, 3028936, 2166821, 2841248, 2314221, 2159444, 3038735, 3032185, 3015831, 2556072, 2853999, 2163991, 2832336, 2830935, 2175942, 1692767, 2548136, 2847864, 2842441, 2996269, 2175876, 2083290, 2846776, 2573776, 3013712, 2841018, 2154535, 2854000, 2173733, 2553962, 1965568, 3024429]	1.3041734924256245	0.0	0.08651633686148182	9321475
1991	cervical cancer	4189	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	19952	134	[6129466, 4345508, 2289300, 1655658, 2546422, 2714885, 2833450, 2981783, 2164733, 205904, 2019457, 1848537, 179694, 4352374, 56227, 766960, 4040497, 165303, 6254649, 6282116, 192436, 175946, 214407, 7263972, 176115, 2547521, 175945, 169365, 2083290, 176392, 3841750, 168937, 6249764, 195975, 3007372, 231583, 223438, 192072, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 2550096, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 2837373, 2554855, 220150, 6271502, 2831934, 224356, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 2982703, 6762291, 6273337, 1654190, 186361, 5475842, 214612, 2989664, 3009194, 3006233, 6280493, 4352394, 191382, 2542033, 3037680, 2848763, 2172417, 2553361, 21286567, 6802172, 4350736, 2826000, 6247704]	0.35659746941569737	1.3663045897977563e-108	0.006716118684843625	9734824
1991	cervical cancer	4189	hpv|human papillomavirus	2732	245	[6304740, 2983228, 6329740, 1648218, 3014503, 2167986, 2547512, 3039146, 1649312, 2227552, 2462058, 2542020, 2541336, 2553991, 1651408, 2541388, 2882129, 6282442, 2831924, 2841858, 2538174, 3033296, 2997616, 2821369, 2289300, 3539967, 3009902, 1712110, 2549723, 2831120, 3004214, 2869301, 1681267, 2555442, 2837431, 2542439, 2836460, 1645699, 3008153, 3010725, 3039733, 2168964, 1847520, 2154865, 1646568, 6318956, 2561870, 2549190, 3022864, 2536006, 2160903, 2556164, 2545036, 1656460, 2826665, 2536815, 2539898, 2153245, 1655658, 2556252, 3007370, 2714885, 2833450, 2351522, 2158235, 3513580, 1755447, 2547727, 2981783, 1698732, 1755448, 2159437, 2536087, 2471193, 2822583, 2174733, 2164733, 1693666, 3018133, 2983861, 2019457, 6299907, 1848537, 1846062, 1660038, 3028936, 2166821, 1657209, 1649138, 2841248, 2314221, 2159444, 1722219, 1719818, 3038735, 3032185, 3015831, 2556072, 1668886, 2853999]	1.315827474764388	0.0	0.08967789165446559	9734824
1992	cervical cancer	4592	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	21146	145	[6129466, 4345508, 2289300, 1655658, 2546422, 2714885, 2833450, 2981783, 1428106, 2164733, 205904, 2019457, 1848537, 179694, 1663652, 4352374, 56227, 766960, 4040497, 165303, 6254649, 1387601, 6282116, 192436, 175946, 214407, 1330912, 7263972, 176115, 2547521, 175945, 169365, 2083290, 176392, 3841750, 168937, 6249764, 195975, 3007372, 1321874, 231583, 223438, 192072, 1617120, 61533, 6286474, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 2550096, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 2837373, 2554855, 220150, 6271502, 1311285, 2831934, 224356, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 1330913, 2982703, 6762291, 6273337, 1654190, 186361, 5475842, 214612, 2989664, 3009194, 1330921, 3006233, 6280493, 4352394, 191382, 2542033]	0.3789050834028884	1.214200507645606e-115	0.006857088811122671	10156146
1992	cervical cancer	4592	hpv|human papillomavirus	3435	334	[6304740, 2983228, 6329740, 1648218, 1334560, 3014503, 2167986, 1330933, 2547512, 3039146, 1349102, 1649312, 2462058, 2227552, 2542020, 2541336, 2553991, 1330934, 1651408, 2541388, 2882129, 6282442, 1311142, 2841858, 2831924, 2538174, 3033296, 1311062, 2997616, 2821369, 2289300, 3539967, 1319412, 1309459, 3009902, 1712110, 2549723, 2831120, 3004214, 2869301, 1681267, 2555442, 2837431, 1312268, 2542439, 2836460, 1645699, 1328489, 3008153, 3010725, 3039733, 2168964, 1847520, 2154865, 1646568, 6318956, 2549190, 2561870, 3022864, 1329500, 2160903, 2536006, 2556164, 1315836, 1318265, 2545036, 1656460, 2826665, 2539898, 2536815, 2153245, 1655658, 1377602, 2556252, 3007370, 2714885, 2833450, 2351522, 3513580, 2158235, 1755447, 2547727, 1698732, 2981783, 1755448, 2159437, 2536087, 1333485, 2471193, 1428106, 2822583, 2174733, 2164733, 1693666, 3018133, 2983861, 1319218, 1315349, 2019457, 6299907]	1.343846556952344	0.0	0.09723435225618632	10156146
1993	cervical cancer	5003	herpes|herpes simplex|herpes simplex virus|HSV|HSV2|herpes simplex virus-2	22287	158	[6129466, 4345508, 2289300, 1655658, 2546422, 2714885, 2833450, 2981783, 1428106, 8385982, 2164733, 205904, 2019457, 1848537, 179694, 8097804, 8394744, 1663652, 4352374, 56227, 766960, 4040497, 8452120, 8380103, 165303, 6254649, 8370621, 1387601, 6282116, 192436, 8110531, 175946, 214407, 1330912, 7263972, 176115, 2547521, 175945, 169365, 2083290, 176392, 3841750, 168937, 6249764, 195975, 3007372, 1321874, 231583, 223438, 192072, 1617120, 61533, 6286474, 8389810, 190174, 4338534, 200570, 6250079, 192689, 6300393, 6941038, 3005489, 7237368, 2550096, 1336207, 3017635, 3017867, 7219207, 710808, 6399280, 6277023, 6099637, 6100718, 174969, 3002511, 1053388, 230645, 8347493, 2837373, 2554855, 220150, 6271502, 1311285, 2831934, 224356, 8400053, 190133, 6299862, 101081, 2849592, 6086470, 4323159, 6681607, 4370984, 4368434, 1330913, 2982703, 6762291, 6273337, 1654190]	0.40899864118612983	4.1495365430356983e-125	0.007089334589671109	10581310
1993	cervical cancer	5003	hpv|human papillomavirus	4100	423	[6304740, 2983228, 6329740, 1648218, 1334560, 3014503, 2167986, 1330933, 2547512, 3039146, 1349102, 1649312, 2462058, 2227552, 8386137, 2542020, 2541336, 2553991, 1330934, 1651408, 2541388, 2882129, 6282442, 1311142, 2841858, 2831924, 2538174, 3033296, 1311062, 2997616, 2821369, 2289300, 3539967, 1319412, 1309459, 3009902, 1712110, 2549723, 2831120, 3004214, 2869301, 1681267, 2555442, 2837431, 1312268, 2542439, 2836460, 1645699, 1328489, 8387914, 8388491, 3008153, 3010725, 3039733, 8390671, 2168964, 1847520, 2154865, 1646568, 6318956, 2549190, 2561870, 3022864, 8162357, 1329500, 2160903, 2536006, 7678696, 2556164, 1315836, 1318265, 2545036, 1656460, 2826665, 8393371, 2539898, 2536815, 2153245, 1655658, 1377602, 2556252, 3007370, 2714885, 8220085, 2833450, 2351522, 7506573, 3513580, 2158235, 1755447, 2547727, 1698732, 2981783, 8391511, 1755448, 2159437, 8145706, 2536087, 1333485, 8397367]	1.3660234276383367	0.0	0.10317073170731707	10581310
